group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs,8,,,997933.0,ns,411
get_bench,kvs,8,,,2103913.0,ns,822
get_bench,kvs,8,,,3051203.0,ns,1233
get_bench,kvs,8,,,3953868.0,ns,1644
get_bench,kvs,8,,,4936601.0,ns,2055
get_bench,kvs,8,,,6017992.0,ns,2466
get_bench,kvs,8,,,6969954.0,ns,2877
get_bench,kvs,8,,,7865101.0,ns,3288
get_bench,kvs,8,,,8818741.0,ns,3699
get_bench,kvs,8,,,10211239.0,ns,4110
get_bench,kvs,8,,,11020683.0,ns,4521
get_bench,kvs,8,,,11922221.0,ns,4932
get_bench,kvs,8,,,12934569.0,ns,5343
get_bench,kvs,8,,,13932619.0,ns,5754
get_bench,kvs,8,,,14895783.0,ns,6165
get_bench,kvs,8,,,15878745.0,ns,6576
get_bench,kvs,8,,,16884637.0,ns,6987
get_bench,kvs,8,,,17749055.0,ns,7398
get_bench,kvs,8,,,18895583.0,ns,7809
get_bench,kvs,8,,,19768975.0,ns,8220
get_bench,kvs,8,,,20709089.0,ns,8631
get_bench,kvs,8,,,21779236.0,ns,9042
get_bench,kvs,8,,,22739236.0,ns,9453
get_bench,kvs,8,,,23683516.0,ns,9864
get_bench,kvs,8,,,24692407.0,ns,10275
get_bench,kvs,8,,,25895190.0,ns,10686
get_bench,kvs,8,,,26912433.0,ns,11097
get_bench,kvs,8,,,28000085.0,ns,11508
get_bench,kvs,8,,,28707578.0,ns,11919
get_bench,kvs,8,,,29513489.0,ns,12330
get_bench,kvs,8,,,30808803.0,ns,12741
get_bench,kvs,8,,,31879086.0,ns,13152
get_bench,kvs,8,,,32959696.0,ns,13563
get_bench,kvs,8,,,33425433.0,ns,13974
get_bench,kvs,8,,,34138820.0,ns,14385
get_bench,kvs,8,,,35380576.0,ns,14796
get_bench,kvs,8,,,36518162.0,ns,15207
get_bench,kvs,8,,,37649381.0,ns,15618
get_bench,kvs,8,,,38750268.0,ns,16029
get_bench,kvs,8,,,39490635.0,ns,16440
get_bench,kvs,8,,,40395646.0,ns,16851
get_bench,kvs,8,,,41511010.0,ns,17262
get_bench,kvs,8,,,42789393.0,ns,17673
get_bench,kvs,8,,,43617148.0,ns,18084
get_bench,kvs,8,,,44381555.0,ns,18495
get_bench,kvs,8,,,45663909.0,ns,18906
get_bench,kvs,8,,,46563986.0,ns,19317
get_bench,kvs,8,,,47624284.0,ns,19728
get_bench,kvs,8,,,48737246.0,ns,20139
get_bench,kvs,8,,,49607449.0,ns,20550
get_bench,kvs,8,,,50313567.0,ns,20961
get_bench,kvs,8,,,51158610.0,ns,21372
get_bench,kvs,8,,,52393706.0,ns,21783
get_bench,kvs,8,,,53157180.0,ns,22194
get_bench,kvs,8,,,54747130.0,ns,22605
get_bench,kvs,8,,,55426085.0,ns,23016
get_bench,kvs,8,,,56235946.0,ns,23427
get_bench,kvs,8,,,57410287.0,ns,23838
get_bench,kvs,8,,,59996273.0,ns,24249
get_bench,kvs,8,,,59332685.0,ns,24660
get_bench,kvs,8,,,60164175.0,ns,25071
get_bench,kvs,8,,,61306713.0,ns,25482
get_bench,kvs,8,,,62541548.0,ns,25893
get_bench,kvs,8,,,63830897.0,ns,26304
get_bench,kvs,8,,,64447158.0,ns,26715
get_bench,kvs,8,,,65170360.0,ns,27126
get_bench,kvs,8,,,66300621.0,ns,27537
get_bench,kvs,8,,,66841182.0,ns,27948
get_bench,kvs,8,,,68062303.0,ns,28359
get_bench,kvs,8,,,68807423.0,ns,28770
get_bench,kvs,8,,,70385135.0,ns,29181
get_bench,kvs,8,,,70671701.0,ns,29592
get_bench,kvs,8,,,72115163.0,ns,30003
get_bench,kvs,8,,,73094076.0,ns,30414
get_bench,kvs,8,,,74437786.0,ns,30825
get_bench,kvs,8,,,74742591.0,ns,31236
get_bench,kvs,8,,,76910227.0,ns,31647
get_bench,kvs,8,,,77309814.0,ns,32058
get_bench,kvs,8,,,78360660.0,ns,32469
get_bench,kvs,8,,,79792109.0,ns,32880
get_bench,kvs,8,,,80053709.0,ns,33291
get_bench,kvs,8,,,80808973.0,ns,33702
get_bench,kvs,8,,,81113219.0,ns,34113
get_bench,kvs,8,,,83132682.0,ns,34524
get_bench,kvs,8,,,83367831.0,ns,34935
get_bench,kvs,8,,,85050441.0,ns,35346
get_bench,kvs,8,,,86029695.0,ns,35757
get_bench,kvs,8,,,86955458.0,ns,36168
get_bench,kvs,8,,,87897700.0,ns,36579
get_bench,kvs,8,,,88831245.0,ns,36990
get_bench,kvs,8,,,89993956.0,ns,37401
get_bench,kvs,8,,,90896464.0,ns,37812
get_bench,kvs,8,,,91338447.0,ns,38223
get_bench,kvs,8,,,92880854.0,ns,38634
get_bench,kvs,8,,,93821519.0,ns,39045
get_bench,kvs,8,,,94623003.0,ns,39456
get_bench,kvs,8,,,95500632.0,ns,39867
get_bench,kvs,8,,,96780013.0,ns,40278
get_bench,kvs,8,,,97248017.0,ns,40689
get_bench,kvs,8,,,98851232.0,ns,41100
