group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs,20,,,1023929.0,ns,252
get_bench,kvs,20,,,2076928.0,ns,504
get_bench,kvs,20,,,2999976.0,ns,756
get_bench,kvs,20,,,4046013.0,ns,1008
get_bench,kvs,20,,,5097542.0,ns,1260
get_bench,kvs,20,,,6060530.0,ns,1512
get_bench,kvs,20,,,7184698.0,ns,1764
get_bench,kvs,20,,,7977804.0,ns,2016
get_bench,kvs,20,,,8908058.0,ns,2268
get_bench,kvs,20,,,9957925.0,ns,2520
get_bench,kvs,20,,,11119821.0,ns,2772
get_bench,kvs,20,,,11841005.0,ns,3024
get_bench,kvs,20,,,12998677.0,ns,3276
get_bench,kvs,20,,,14563331.0,ns,3528
get_bench,kvs,20,,,15326501.0,ns,3780
get_bench,kvs,20,,,15790288.0,ns,4032
get_bench,kvs,20,,,16841975.0,ns,4284
get_bench,kvs,20,,,17821542.0,ns,4536
get_bench,kvs,20,,,18801626.0,ns,4788
get_bench,kvs,20,,,20516430.0,ns,5040
get_bench,kvs,20,,,20711216.0,ns,5292
get_bench,kvs,20,,,21730185.0,ns,5544
get_bench,kvs,20,,,22769395.0,ns,5796
get_bench,kvs,20,,,24379125.0,ns,6048
get_bench,kvs,20,,,24719371.0,ns,6300
get_bench,kvs,20,,,25624037.0,ns,6552
get_bench,kvs,20,,,26537312.0,ns,6804
get_bench,kvs,20,,,27932149.0,ns,7056
get_bench,kvs,20,,,28722888.0,ns,7308
get_bench,kvs,20,,,29667219.0,ns,7560
get_bench,kvs,20,,,30682654.0,ns,7812
get_bench,kvs,20,,,31548498.0,ns,8064
get_bench,kvs,20,,,32576412.0,ns,8316
get_bench,kvs,20,,,33709221.0,ns,8568
get_bench,kvs,20,,,35340267.0,ns,8820
get_bench,kvs,20,,,35662391.0,ns,9072
get_bench,kvs,20,,,36394542.0,ns,9324
get_bench,kvs,20,,,37546091.0,ns,9576
get_bench,kvs,20,,,38553555.0,ns,9828
get_bench,kvs,20,,,39440189.0,ns,10080
get_bench,kvs,20,,,40417809.0,ns,10332
get_bench,kvs,20,,,41473527.0,ns,10584
get_bench,kvs,20,,,48003824.0,ns,10836
get_bench,kvs,20,,,44718503.0,ns,11088
get_bench,kvs,20,,,45833149.0,ns,11340
get_bench,kvs,20,,,47183324.0,ns,11592
get_bench,kvs,20,,,46179689.0,ns,11844
get_bench,kvs,20,,,47846497.0,ns,12096
get_bench,kvs,20,,,48822687.0,ns,12348
get_bench,kvs,20,,,49381025.0,ns,12600
get_bench,kvs,20,,,53493158.0,ns,12852
get_bench,kvs,20,,,51970217.0,ns,13104
get_bench,kvs,20,,,52688294.0,ns,13356
get_bench,kvs,20,,,53294007.0,ns,13608
get_bench,kvs,20,,,54499370.0,ns,13860
get_bench,kvs,20,,,55180258.0,ns,14112
get_bench,kvs,20,,,56807851.0,ns,14364
get_bench,kvs,20,,,63936937.0,ns,14616
get_bench,kvs,20,,,58609142.0,ns,14868
get_bench,kvs,20,,,68389286.0,ns,15120
get_bench,kvs,20,,,59978239.0,ns,15372
get_bench,kvs,20,,,61228390.0,ns,15624
get_bench,kvs,20,,,61932994.0,ns,15876
get_bench,kvs,20,,,63696720.0,ns,16128
get_bench,kvs,20,,,68312243.0,ns,16380
get_bench,kvs,20,,,72646919.0,ns,16632
get_bench,kvs,20,,,69369573.0,ns,16884
get_bench,kvs,20,,,66933203.0,ns,17136
get_bench,kvs,20,,,70955269.0,ns,17388
get_bench,kvs,20,,,69159329.0,ns,17640
get_bench,kvs,20,,,70185532.0,ns,17892
get_bench,kvs,20,,,71013511.0,ns,18144
get_bench,kvs,20,,,75243804.0,ns,18396
get_bench,kvs,20,,,72411067.0,ns,18648
get_bench,kvs,20,,,74174469.0,ns,18900
get_bench,kvs,20,,,75040235.0,ns,19152
get_bench,kvs,20,,,75627746.0,ns,19404
get_bench,kvs,20,,,94176538.0,ns,19656
get_bench,kvs,20,,,78433130.0,ns,19908
get_bench,kvs,20,,,78860455.0,ns,20160
get_bench,kvs,20,,,80365693.0,ns,20412
get_bench,kvs,20,,,117356336.0,ns,20664
get_bench,kvs,20,,,85383648.0,ns,20916
get_bench,kvs,20,,,84561323.0,ns,21168
get_bench,kvs,20,,,106880362.0,ns,21420
get_bench,kvs,20,,,113575880.0,ns,21672
get_bench,kvs,20,,,130969785.0,ns,21924
get_bench,kvs,20,,,115594399.0,ns,22176
get_bench,kvs,20,,,94841946.0,ns,22428
get_bench,kvs,20,,,110236070.0,ns,22680
get_bench,kvs,20,,,106921091.0,ns,22932
get_bench,kvs,20,,,104247074.0,ns,23184
get_bench,kvs,20,,,106860261.0,ns,23436
get_bench,kvs,20,,,114742656.0,ns,23688
get_bench,kvs,20,,,126563661.0,ns,23940
get_bench,kvs,20,,,116085236.0,ns,24192
get_bench,kvs,20,,,122590083.0,ns,24444
get_bench,kvs,20,,,129597649.0,ns,24696
get_bench,kvs,20,,,102541968.0,ns,24948
get_bench,kvs,20,,,115625324.0,ns,25200
